Date,Open,High,Low,Close,Adj Close,Volume
1980-12-08,0.128348,0.128906,0.128348,0.128348,0.100266,469033600
1980-12-15,0.122210,0.126674,0.112723,0.126116,0.098522,490134400
1980-12-22,0.132254,0.159040,0.132254,0.158482,0.123806,187891200
1980-12-29,0.160714,0.161272,0.152344,0.154018,0.120319,219452800
1981-01-05,0.151228,0.151228,0.135045,0.142299,0.111164,197904000
1981-01-12,0.142299,0.142299,0.136161,0.138393,0.108113,88502400
1981-01-19,0.146763,0.147879,0.142299,0.146205,0.114216,134332800
1981-01-26,0.144531,0.144531,0.126116,0.126116,0.098522,166588800
1981-02-02,0.119420,0.128906,0.118862,0.128348,0.100266,92579200
1981-02-09,0.122768,0.122768,0.113839,0.113839,0.088931,74659200
1981-02-16,0.116629,0.122768,0.108259,0.108259,0.084572,78198400
1981-02-23,0.109933,0.119420,0.106027,0.118304,0.092419,76182400
1981-03-02,0.118862,0.119420,0.114397,0.114397,0.089367,58620800
1981-03-09,0.106027,0.106027,0.096540,0.099330,0.077597,364112000
1981-03-16,0.103237,0.116071,0.103237,0.114955,0.089803,170329600
1981-03-23,0.119420,0.120536,0.110491,0.110491,0.086316,81760000
1981-03-30,0.110491,0.118862,0.108259,0.118304,0.092419,107856000
1981-04-06,0.116629,0.125000,0.114955,0.124442,0.097214,101404800
1981-04-13,0.124442,0.125000,0.111607,0.111607,0.087188,80640000
1981-04-20,0.114955,0.131138,0.114955,0.129464,0.101138,175952000
1981-04-27,0.128906,0.128906,0.124442,0.126674,0.098958,113523200
1981-05-04,0.126674,0.126674,0.122210,0.125000,0.097650,68208000
1981-05-11,0.122768,0.124442,0.119978,0.122768,0.095906,30934400
1981-05-18,0.125000,0.141183,0.122768,0.140067,0.109420,106512000
1981-05-25,0.140067,0.148438,0.139509,0.147879,0.115524,368211200
1981-06-01,0.147879,0.148438,0.140625,0.141183,0.110292,244876800
1981-06-08,0.136719,0.147321,0.136161,0.145089,0.113344,303094400
1981-06-15,0.145089,0.145089,0.135045,0.135045,0.105497,259145600
1981-06-22,0.130580,0.133371,0.128906,0.130022,0.101574,96947200
1981-06-29,0.126674,0.126674,0.114955,0.114955,0.089803,247251200
1981-07-06,0.112165,0.117188,0.099330,0.099330,0.077597,137043200
1981-07-13,0.101563,0.116071,0.101563,0.115513,0.090239,111529600
1981-07-20,0.108259,0.108259,0.101004,0.107143,0.083700,141568000
1981-07-27,0.111607,0.112165,0.106027,0.111607,0.087188,76540800
1981-08-03,0.111607,0.116071,0.110491,0.112723,0.088059,81334400
1981-08-10,0.110491,0.110491,0.102121,0.102121,0.079777,149408000
1981-08-17,0.099888,0.099888,0.089844,0.089844,0.070186,115606400
1981-08-24,0.084821,0.090402,0.084263,0.089844,0.070186,161324800
1981-08-31,0.089844,0.097656,0.089844,0.090960,0.071058,150080000
1981-09-07,0.088728,0.089286,0.087612,0.087612,0.068442,108326400
1981-09-14,0.085379,0.085379,0.078683,0.079241,0.061903,112246400
1981-09-21,0.079799,0.080357,0.063616,0.063616,0.049697,177564800
1981-09-28,0.064174,0.074219,0.064174,0.073661,0.057544,342585600
1981-10-05,0.075893,0.084263,0.075335,0.083147,0.064955,195910400
1981-10-12,0.085938,0.087054,0.080915,0.081473,0.063647,168425600
1981-10-19,0.083147,0.088170,0.083147,0.084821,0.066263,193401600
1981-10-26,0.084821,0.089844,0.084821,0.089286,0.069750,240262400
1981-11-02,0.089286,0.089844,0.079799,0.080357,0.062775,137065600
1981-11-09,0.081473,0.087612,0.080915,0.080915,0.063211,125507200
1981-11-16,0.080357,0.085379,0.079799,0.084821,0.066263,165222400
1981-11-23,0.082031,0.084821,0.080357,0.084263,0.065827,134915200
1981-11-30,0.083705,0.085379,0.082589,0.084821,0.066263,242502400
1981-12-07,0.085379,0.085938,0.083705,0.083705,0.065391,257689600
1981-12-14,0.082031,0.102679,0.080915,0.102121,0.079777,245190400
1981-12-21,0.098214,0.099888,0.097098,0.097656,0.076289,168044800
1981-12-28,0.094308,0.099330,0.093192,0.098772,0.077161,147660800
1982-01-04,0.098772,0.098772,0.084821,0.088728,0.069314,299824000
1982-01-11,0.083705,0.090402,0.079799,0.089286,0.069750,207424000
1982-01-18,0.090960,0.093192,0.088728,0.092634,0.072366,166924800
1982-01-25,0.090402,0.091518,0.086496,0.090960,0.071058,190041600
1982-02-01,0.090960,0.091518,0.088170,0.088170,0.068878,186614400
1982-02-08,0.083147,0.084263,0.082589,0.083705,0.065391,172569600
1982-02-15,0.082589,0.084821,0.082031,0.083705,0.065391,101875200
1982-02-22,0.083147,0.083147,0.081473,0.081473,0.063647,147347200
1982-03-01,0.082031,0.082589,0.074219,0.074219,0.057980,177452800
1982-03-08,0.073661,0.074219,0.068080,0.068080,0.053184,243712000
1982-03-15,0.068080,0.074777,0.063058,0.074219,0.057980,271152000
1982-03-22,0.079799,0.080357,0.072545,0.072545,0.056672,311651200
1982-03-29,0.074219,0.079799,0.074219,0.079241,0.061903,339651200
1982-04-05,0.079241,0.079799,0.077567,0.078125,0.061031,211321600
1982-04-12,0.078125,0.078683,0.071429,0.075335,0.058852,511526400
1982-04-19,0.074777,0.074777,0.068638,0.068638,0.053620,295747200
1982-04-26,0.070313,0.070871,0.065290,0.065848,0.051441,587059200
